anio;producto;produccion_local;importado;exportado;oferta_bruta;importado_pcnt;exportado_pcnt
2005;Gas Natural de Pozo;44212.4084287924;1441.71;-2603.7569178;45654.1184287924;3.157896921;5.8891994585492
2005;Petroleo;33299.4103712632;220.216972;-7731.06688;33519.6273432632;0.656979177;23.216828147419
2004;Gas Natural de Pozo;44969.7554721378;1513.92;-2642.147235;46483.6754721378;3.256885314;5.87538715134223
2004;Petroleo;34874.1480961946;525.3745828;-9110.95848;35399.5226789946;1.484129002;26.1252502996458
2003;Gas Natural de Pozo;43927.1424850722;70.751773;-2565.045;43997.8942580722;0.160807180;5.83931677520723
2003;Petroleo;37067.3138988425;253.63131;-11868.750394;37320.9452088425;0.679595087;32.0194509545258
2002;Gas Natural de Pozo;40055.3115808104;82.55097;-2326.2156;40137.8625508104;0.205668575;5.80750843819284
2002;Petroleo;38168.68296782;542.37668;-13760.15472;38711.05964782;1.401089727;36.0509025988693
2001;Gas Natural de Pozo;39585.7575;0;-2163.2598;39585.7575;0.000000000;5.46474271712497
2001;Petroleo;38778.58664719;1429.40474572;-14850.19824;40207.99139291;3.555026492;38.2948413646635
2017;Gas Natural de Pozo;39202.1642108825;5492.56733;;44694.7315408825;12.289071084;0
2017;Petroleo;24766.120443847;1117.27712751;;25883.397571357;4.316578318;0
2000;Gas Natural de Pozo;38687.00022;0;-1912.3596;38687.00022;0.000000000;4.94315813871598
2000;Petroleo;39213.570880445;1198.46810286;-14372.17568;40412.038983305;2.965621466;36.651025033701
1999;Gas Natural de Pozo;36579.248856;0;-817.3656;36579.248856;0.000000000;2.23450624483212
1999;Petroleo;41391.96425;967.53146;-13894.15312;42359.49571;2.284095794;33.567271744056
1998;Gas Natural de Pozo;33306.9834438;1454.31023;-640.6146;34761.2936738;4.183705715;1.92336421303638
1998;Petroleo;43741.41295;1191.62367;-17074.4720334755;44933.03662;2.651998974;39.0350262644533
1997;Gas Natural de Pozo;31965.1881426;1413.89087008;-477.6588;33379.07901268;4.235859442;1.49430936514159
1997;Petroleo;43078.67;1132.12806;-17312.4488400115;44210.79806;2.560750110;40.1879836123342
1996;Gas Natural de Pozo;29874.9963438;1737.70295328;-3.4488;31612.69929708;5.496850924;0.011544101831215
1996;Petroleo;40556.95112;755.16945;-16785.146373494;41312.12057;1.827960994;41.3866079918829
1995;Gas Natural de Pozo;26246.3845338;1763.75;0;28010.1345338;6.296828021;0
1995;Petroleo;37148.0037;515.98284;-14089.2219322034;37663.98654;1.369963425;37.9272653410535
1994;Gas Natural de Pozo;23880.6956934;1873.31;0;25754.0056934;7.273858763;0
1994;Petroleo;34490.93006;440.44587;-10526.5629943503;34931.37593;1.260888981;30.5198003534216
1993;Gas Natural de Pozo;22988.5428654;1422.62;0;24411.1628654;5.827743675;0
1993;Petroleo;30664.23088;148.649107344633;-4479.40318644068;30812.8799873446;0.482425231;14.6079097955209
1992;Gas Natural de Pozo;21591.755586;1659.17;0;23250.925586;7.135930971;0
1992;Petroleo;28699.03078;9.65739;-2728.6866;28708.68817;0.033639259;9.50793990541865
1991;Gas Natural de Pozo;21247.1221752;1807.74;0;23054.8621752;7.841035814;0
1991;Petroleo;25472.2628;220.186;-1279.6153;25692.4488;0.857006670;5.02356351317167
1990;Gas Natural de Pozo;19846.0480374;1820.19;0;21666.2380374;8.401043120;0
1990;Petroleo;24923.59204;47.17;-922.22779;24970.76204;0.188900923;3.70022021111528
